"CodesAndRegsLicenseDataID","LicenseID","Description","LicenseName","Location","StreetNumber","Prefix","StreetName","Suffix","Longitude","Latitude","ExpirationDate","SubType","SubDescription","IssueDate","Zip","DISTRICT","NEIGHBORHOOD","ZONING","EndorsementType","EndorsementTypeDescription","EndorsementStatusDescription","EndorsementIssuedDate","AGENCY","GPSX","GPSY"
"1","5677","Alcoholic Beverage Annual","TUMBLEWEED SOUTHWEST GRILL","4255 OUTER LOOP ","4255"," ","OUTER","LOOP","-85.682815751500002","38.138771830800003","2018-08-31 00:00:00","RST","Restaurant / Cafe","2004-08-17 10:14:00","40219","24","","C1","RLD","NQ2 Retail Drink (Restaurant)","ACTIVE","","Codes and Regulations","1228336","235821"
"2","5677","Alcoholic Beverage Annual","TUMBLEWEED SOUTHWEST GRILL","4255 OUTER LOOP ","4255"," ","OUTER","LOOP","-85.682815751500002","38.138771830800003","2018-08-31 00:00:00","RST","Restaurant / Cafe","2004-08-17 10:14:00","40219","24","","C1","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1228336","235821"
"3","5679","Alcoholic Beverage Annual","TUMBLEWEED SOUTHWEST GRILL","3550 SPRINGHURST COMMONS DR ","3550"," ","SPRINGHURST COMMONS","DR","-85.561420715400004","38.297505092800002","2018-08-31 00:00:00","RST","Restaurant / Cafe","2004-08-03 16:22:00","40241","17","","C1","RLD","NQ2 Retail Drink (Restaurant)","ACTIVE","","Codes and Regulations","1264070","293100"
"4","5679","Alcoholic Beverage Annual","TUMBLEWEED SOUTHWEST GRILL","3550 SPRINGHURST COMMONS DR ","3550"," ","SPRINGHURST COMMONS","DR","-85.561420715400004","38.297505092800002","2018-08-31 00:00:00","RST","Restaurant / Cafe","2004-08-03 16:22:00","40241","17","","C1","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1264070","293100"
"5","4642","Alcoholic Beverage Annual","CARDINAL HALL OF FAME CAFE","2745 CRITTENDEN DR ","2745"," ","CRITTENDEN","DR","-85.748964987199997","38.203738271699997","2019-05-31 00:00:00","RST","Restaurant / Cafe","2004-05-25 08:47:00","40209","15","FAIRGROUNDS","M2","SBL","Supplemental Bar","ACTIVE","","Codes and Regulations","1209698","259779"
"6","4074","Alcoholic Beverage Annual","SHIRLEY MAE'S CAFE","802 S CLAY ST ","802","S","CLAY","ST","-85.742263335499999","38.241449471700001","2018-10-31 00:00:00","RST","Restaurant / Cafe","2004-04-02 15:25:00","40203","04","SMOKETOWN JACKSON","UN","LD2","Quota Retail Drink (12 AM - 2 AM)","ACTIVE","","Codes and Regulations","1211846","273479"
"7","14ABC1209","Alcoholic Beverage Annual","TOKYO JAPANESE RESTAURANT & SUSHI BAR","2415 LIME KILN LN ","2415"," ","LIME KILN","LN","-85.628026750700002","38.285934747900001","2019-01-31 00:00:00","RST","Restaurant / Cafe","2015-01-29 12:33:29","40222","07","","C1","RLD","NQ2 Retail Drink (Restaurant)","ACTIVE","2015-01-29 12:33:29","Codes and Regulations","1244894","289166"
"8","5874","Alcoholic Beverage Annual","PLEASURE VALLEY VFW POST #1181","6518 BLEVINS GAP RD ","6518"," ","BLEVINS GAP","RD","-85.883368774299996","38.070444948000002","2018-09-30 00:00:00","PRI","Private Club","2004-08-25 10:44:00","40272","14","","R4","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1170221","211903"
"9","13ABC1013","Alcoholic Beverage Annual","COMMONWEALTH TAP","9411 NORTON COMMONS BLVD 101","9411"," ","NORTON COMMONS","BLVD","-85.567263842700001","38.324525816200001","2019-02-28 00:00:00","LIQ","Liquor Store","2013-09-24 16:53:20","40059","16","","PVD","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1262534","302963"
"10","13ABC1111","Alcoholic Beverage Annual","CASTAWAY LOUNGE","6909 SHEPHERDSVILLE RD ","6909"," ","SHEPHERDSVILLE","RD","-85.659314158800001","38.150334758","2019-02-28 00:00:00","BAR","Bar","2014-01-29 11:33:07","40219","24","","C2","MBRD4","NQ4 Retail Malt Beverage Drink (12 am till 4 am)","ACTIVE","","Codes and Regulations","1235159","239927"
